movie_name,revenue_total,revenue_opening_day,revenue_opening_weekend,revenue_firstweek,movie_genre,runtime,movie_director,release_month,release_year
Nanu Ki Jaanu,4.09,0.75,3.1,4,Comedy,133,Faraz Haider,Apr,2018
October,45.36,5.04,20.25,30.24,Drama,116,Shoojit Sircar,Apr,2018
Blackmail,19.11,2.81,11.22,16.92,Comedy,139,Abhinay Deo,Apr,2018
Baaghi 2,165.5,25.1,73.1,112.85,Action,145,Ahmed Khan,Mar,2018
Hichki,46.17,3.3,15.35,26.1,Drama,140,Siddharth P Malhotra,Mar,2018
Raid,101.54,10.04,41.01,63.05,Crime,128,Rajkumar Gupta,Mar,2018
Hate Story IV,20.04,3.76,12.57,20.04,Thriller,131,Vishal Pandya,Mar,2018
Pari,22.75,4.36,15.34,22.75,Horror,137,Prosit Roy,Mar,2018
Welcome To New York,4.5,1,3,3,Comedy,124,Chakri Toleti,Feb,2018
Sonu Ke Titu Ki Sweety,108.71,6.42,26.57,45.94,Comedy,140,Luv Ranjan,Feb,2018
Aiyaary,17.79,3.36,11.7,16.14,Action,160,Neeraj Pandey,Feb,2018
Pad Man,80,10.26,40.05,62.87,Social,140,R. Balki,Feb,2018
Padmaavat,300.26,24,114,166.5,Historical,163,Sanjay Leela Bhansali,Jan,2018
1921,15.67,1.56,6.45,11.58,Horror,144,Vikram Bhatt,Jan,2018
Kaalakaandi,5.77,1.25,3.85,5.77,Drama,112,Akshat Verma,Jan,2018
Mukkabaaz,8.87,0.82,4.04,6.73,Drama,155,Anurag Kashyap,Jan,2018
Tiger Zinda Hai,339.16,34.1,114.93,206.04,Action,161,Ali Abbas Zafar,Dec,2017
Fukrey Returns,80.13,8.1,32.2,50.55,Comedy,131,Mrigdeep Singh Lamba,Dec,2017
Firangi,9.5,1.85,6.6,9.5,Comedy,160,Rajiev Dhingra,Dec,2017
Tumhari Sulu,34.14,2.87,12.87,19.78,Comedy,140,Suresh Triveni,Nov,2017
Aksar 2,5.6,0.8,2.9,5.3,Thriller,117,Anant Mahadevan,Nov,2017
Qarib Qarib Singlle,12.15,1.75,8.3,12.15,Comedy,125,Tanuja Chandra,Nov,2017
Ittefaq,27.4,4.05,16.05,23.65,Thriller,107,Abhay Chopra,Nov,2017
Golmaal Again,205.52,30.14,87.6,136.07,Comedy,151,Rohit Shetty,Oct,2017
Secret Superstar,59.34,4.8,31.1,41.59,Drama,150,Advait Chandan,Oct,2017
Chef,6.37,1.05,4,5.6,Drama,133,Raja Krishna Menon,Oct,2017
Judwaa 2,138.47,16.1,59.25,98.08,Comedy,150,David Dhawan,Sep,2017
Newton,22.79,0.96,6.9,11.83,Comedy,107,Amit Masurkar,Sep,2017
Bhoomi,10.63,2.25,7.48,10.28,Drama,135,Omung Kumar,Sep,2017
Haseena Parkar,8.03,1.87,6.1,8,Biographical,124,Apoorva Lakhia,Sep,2017
Lucknow Central,11.2,2.04,8.42,10.42,Thriller,147,Ranjit Tiwari,Sep,2017
Simran,17.26,2.77,10.65,15.48,Drama,124,Hansal Mehta,Sep,2017
Poster Boys,12.73,1.75,7.25,11.2,Comedy,131,Shreyas Talpade,Sep,2017
